HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Source1Text,Input.Source1Image,Input.Source2Text,Input.Source2Image,Input.Source3Text,Input.Source3Image,Input.Source4Text,Input.Source4Image,Input.Source5Text,Input.Source5Image,Answer.Age,Answer.Education,Answer.Gender,Answer.Q1Credibility,Answer.Q1Familiarity,Answer.Q2Credibility,Answer.Q2Familiarity,Answer.Q3Credibility,Answer.Q3Familiarity,Answer.Q4Credibility,Answer.Q4Familiarity,Answer.Q5Credibility,Answer.Q5Familiarity,Answer.US,Answer.freeEntry,Answer.valid,Approve,Reject
30QQTY5GMKKASSL5LPBG8VE3URO7UT,3M6I6ITMWAVH70OHOM0EJ2K4L1BDQ4,News credibility,"You will be shown a variety of news sources on a variety of topics.  You will be asked to assess the credibility of these sources, as well as your familiarity with the topics.","news, classification",$0.25 ,Tue Jun 16 11:16:47 PDT 2015,410,BatchId:1982797;,28800,259200,Mon Jun 22 08:40:07 PDT 2015,,,304SM51WA34J2BULZ4YYNGEV9WHBS7,A33KTU8KJ5CP2T,Approved,Wed Jun 17 00:27:19 PDT 2015,Wed Jun 17 06:58:47 PDT 2015,Sat Jun 20 06:58:47 PDT 2015,Wed Jun 17 15:03:04 PDT 2015,,,23488,100% (1/1),100% (1/1),100% (1/1),Dogs are sensitive to Earth's magnetic field.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Dogs_News.jpeg,Artificial sweeteners may lead to diabetes.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Sugar_Abstract.jpeg,Caffeine can improve memory.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Caffeine_Blog.jpeg,Marriage duration is inversely associated with spending on the engagement ring and wedding ceremony.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Wedding_Tweet.jpeg,Vitamin D deficiency causes an increased risk of dementia and Alzheimer disease.,https://www.youtube.com/embed/QblJmu1icHY,44,Master,Male,4,1,7,7,4,1,1,1,5,2,Yes,No,4,,
30QQTY5GMKKASSL5LPBG8VE3URO7UT,3M6I6ITMWAVH70OHOM0EJ2K4L1BDQ4,News credibility,"You will be shown a variety of news sources on a variety of topics.  You will be asked to assess the credibility of these sources, as well as your familiarity with the topics.","news, classification",$0.25 ,Tue Jun 16 11:16:47 PDT 2015,410,BatchId:1982797;,28800,259200,Mon Jun 22 08:40:07 PDT 2015,,,30H4UDGLT2II8AIQYCKD6RKEYC7PMP,A1W5D2MRLBNBJU,Approved,Wed Jun 17 12:00:18 PDT 2015,Wed Jun 17 12:02:20 PDT 2015,Sat Jun 20 12:02:20 PDT 2015,Wed Jun 17 15:02:48 PDT 2015,,,122,100% (2/2),100% (1/1),100% (1/1),Dogs are sensitive to Earth's magnetic field.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Dogs_News.jpeg,Artificial sweeteners may lead to diabetes.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Sugar_Abstract.jpeg,Caffeine can improve memory.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Caffeine_Blog.jpeg,Marriage duration is inversely associated with spending on the engagement ring and wedding ceremony.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Wedding_Tweet.jpeg,Vitamin D deficiency causes an increased risk of dementia and Alzheimer disease.,https://www.youtube.com/embed/QblJmu1icHY,23,High school,Male,4,3,6,3,2,3,4,4,5,4,Yes,{},4,,
30QQTY5GMKKASSL5LPBG8VE3URO7UT,3M6I6ITMWAVH70OHOM0EJ2K4L1BDQ4,News credibility,"You will be shown a variety of news sources on a variety of topics.  You will be asked to assess the credibility of these sources, as well as your familiarity with the topics.","news, classification",$0.25 ,Tue Jun 16 11:16:47 PDT 2015,410,BatchId:1982797;,28800,259200,Mon Jun 22 08:40:07 PDT 2015,,,30JNVC0OR9KHG8IU7SJPER2SMMYHQ3,A22R2NKWSYZ0KU,Approved,Wed Jun 17 13:33:09 PDT 2015,Wed Jun 17 13:34:35 PDT 2015,Sat Jun 20 13:34:35 PDT 2015,Wed Jun 17 15:02:53 PDT 2015,,,86,100% (1/1),100% (1/1),100% (1/1),Dogs are sensitive to Earth's magnetic field.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Dogs_News.jpeg,Artificial sweeteners may lead to diabetes.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Sugar_Abstract.jpeg,Caffeine can improve memory.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Caffeine_Blog.jpeg,Marriage duration is inversely associated with spending on the engagement ring and wedding ceremony.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Wedding_Tweet.jpeg,Vitamin D deficiency causes an increased risk of dementia and Alzheimer disease.,https://www.youtube.com/embed/QblJmu1icHY,26,Bachelor,Male,2,1,5,4,1,5,1,2,2,1,Yes,No,4,,
30QQTY5GMKKASSL5LPBG8VE3URO7UT,3M6I6ITMWAVH70OHOM0EJ2K4L1BDQ4,News credibility,"You will be shown a variety of news sources on a variety of topics.  You will be asked to assess the credibility of these sources, as well as your familiarity with the topics.","news, classification",$0.25 ,Tue Jun 16 11:16:47 PDT 2015,410,BatchId:1982797;,28800,259200,Mon Jun 22 08:40:07 PDT 2015,,,30X31N5D63QEJ1PTTQY2S5UPRFGASX,A23932BPI1NFXV,Approved,Wed Jun 17 09:14:30 PDT 2015,Wed Jun 17 09:18:52 PDT 2015,Sat Jun 20 09:18:52 PDT 2015,Wed Jun 17 15:02:53 PDT 2015,,,262,100% (1/1),100% (1/1),100% (1/1),Dogs are sensitive to Earth's magnetic field.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Dogs_News.jpeg,Artificial sweeteners may lead to diabetes.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Sugar_Abstract.jpeg,Caffeine can improve memory.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Caffeine_Blog.jpeg,Marriage duration is inversely associated with spending on the engagement ring and wedding ceremony.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Wedding_Tweet.jpeg,Vitamin D deficiency causes an increased risk of dementia and Alzheimer disease.,https://www.youtube.com/embed/QblJmu1icHY,39,Bachelor,Female,5,1,6,5,5,6,1,1,6,5,Yes,no,4,,
30QQTY5GMKKASSL5LPBG8VE3URO7UT,3M6I6ITMWAVH70OHOM0EJ2K4L1BDQ4,News credibility,"You will be shown a variety of news sources on a variety of topics.  You will be asked to assess the credibility of these sources, as well as your familiarity with the topics.","news, classification",$0.25 ,Tue Jun 16 11:16:47 PDT 2015,410,BatchId:1982797;,28800,259200,Mon Jun 22 08:40:07 PDT 2015,,,30ZX6P7VF8VWFVBZTHW9UMK4JD7J2P,AWMQYV1RQM94M,Approved,Sat Jun 20 22:39:09 PDT 2015,Sat Jun 20 22:40:34 PDT 2015,Tue Jun 23 22:40:34 PDT 2015,Sun Jun 21 08:18:37 PDT 2015,,,85,20% (1/5),20% (1/5),20% (1/5),Dogs are sensitive to Earth's magnetic field.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Dogs_News.jpeg,Artificial sweeteners may lead to diabetes.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Sugar_Abstract.jpeg,Caffeine can improve memory.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Caffeine_Blog.jpeg,Marriage duration is inversely associated with spending on the engagement ring and wedding ceremony.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Wedding_Tweet.jpeg,Vitamin D deficiency causes an increased risk of dementia and Alzheimer disease.,https://www.youtube.com/embed/QblJmu1icHY,43,Master,Male,5,1,7,5,7,6,4,1,3,5,Yes,Nope!,4,,
30QQTY5GMKKASSL5LPBG8VE3URO7UT,3M6I6ITMWAVH70OHOM0EJ2K4L1BDQ4,News credibility,"You will be shown a variety of news sources on a variety of topics.  You will be asked to assess the credibility of these sources, as well as your familiarity with the topics.","news, classification",$0.25 ,Tue Jun 16 11:16:47 PDT 2015,410,BatchId:1982797;,28800,259200,Mon Jun 22 08:40:07 PDT 2015,,,31HQ4X3T3SAVFKGXQHNS1JA0LRMLSX,A3QJDP116O759Z,Approved,Wed Jun 17 11:10:19 PDT 2015,Wed Jun 17 11:13:37 PDT 2015,Sat Jun 20 11:13:37 PDT 2015,Wed Jun 17 15:03:14 PDT 2015,,,198,100% (1/1),100% (1/1),100% (1/1),Dogs are sensitive to Earth's magnetic field.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Dogs_News.jpeg,Artificial sweeteners may lead to diabetes.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Sugar_Abstract.jpeg,Caffeine can improve memory.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Caffeine_Blog.jpeg,Marriage duration is inversely associated with spending on the engagement ring and wedding ceremony.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Wedding_Tweet.jpeg,Vitamin D deficiency causes an increased risk of dementia and Alzheimer disease.,https://www.youtube.com/embed/QblJmu1icHY,67,Doct,Male,7,5,5,4,7,7,7,7,7,7,Yes,No,4,,
30QQTY5GMKKASSL5LPBG8VE3URO7UT,3M6I6ITMWAVH70OHOM0EJ2K4L1BDQ4,News credibility,"You will be shown a variety of news sources on a variety of topics.  You will be asked to assess the credibility of these sources, as well as your familiarity with the topics.","news, classification",$0.25 ,Tue Jun 16 11:16:47 PDT 2015,410,BatchId:1982797;,28800,259200,Mon Jun 22 08:40:07 PDT 2015,,,31JLPPHS2UUZ1OYFDU2JLS6IOGL3OX,A3EEHYZ48WMOYX,Approved,Wed Jun 17 08:45:09 PDT 2015,Wed Jun 17 08:47:33 PDT 2015,Sat Jun 20 08:47:33 PDT 2015,Wed Jun 17 15:03:09 PDT 2015,,,144,100% (1/1),100% (1/1),100% (1/1),Dogs are sensitive to Earth's magnetic field.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Dogs_News.jpeg,Artificial sweeteners may lead to diabetes.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Sugar_Abstract.jpeg,Caffeine can improve memory.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Caffeine_Blog.jpeg,Marriage duration is inversely associated with spending on the engagement ring and wedding ceremony.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Wedding_Tweet.jpeg,Vitamin D deficiency causes an increased risk of dementia and Alzheimer disease.,https://www.youtube.com/embed/QblJmu1icHY,29,Bachelor,Male,1,1,4,5,5,1,1,1,1,1,Yes,{},four,,
30QQTY5GMKKASSL5LPBG8VE3URO7UT,3M6I6ITMWAVH70OHOM0EJ2K4L1BDQ4,News credibility,"You will be shown a variety of news sources on a variety of topics.  You will be asked to assess the credibility of these sources, as well as your familiarity with the topics.","news, classification",$0.25 ,Tue Jun 16 11:16:47 PDT 2015,410,BatchId:1982797;,28800,259200,Mon Jun 22 08:40:07 PDT 2015,,,31N2WW6R9RQ5VBLMERJTYYX4WIUF3T,A1VQRNYVV5JX0R,Approved,Fri Jun 19 11:43:10 PDT 2015,Fri Jun 19 11:47:32 PDT 2015,Mon Jun 22 11:47:32 PDT 2015,Sun Jun 21 08:18:33 PDT 2015,,,262,100% (1/1),100% (1/1),100% (1/1),Dogs are sensitive to Earth's magnetic field.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Dogs_News.jpeg,Artificial sweeteners may lead to diabetes.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Sugar_Abstract.jpeg,Caffeine can improve memory.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Caffeine_Blog.jpeg,Marriage duration is inversely associated with spending on the engagement ring and wedding ceremony.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Wedding_Tweet.jpeg,Vitamin D deficiency causes an increased risk of dementia and Alzheimer disease.,https://www.youtube.com/embed/QblJmu1icHY,32,Associate,Male,6,5,5,2,4,1,3,4,4,2,Yes,no,4,,
30QQTY5GMKKASSL5LPBG8VE3URO7UT,3M6I6ITMWAVH70OHOM0EJ2K4L1BDQ4,News credibility,"You will be shown a variety of news sources on a variety of topics.  You will be asked to assess the credibility of these sources, as well as your familiarity with the topics.","news, classification",$0.25 ,Tue Jun 16 11:16:47 PDT 2015,410,BatchId:1982797;,28800,259200,Mon Jun 22 08:40:07 PDT 2015,,,31T4R4OBOSGGTI2ZP1WI39OH44N7C8,A2DNSD743W4OC2,Approved,Wed Jun 17 08:39:01 PDT 2015,Wed Jun 17 08:47:04 PDT 2015,Sat Jun 20 08:47:04 PDT 2015,Wed Jun 17 15:02:55 PDT 2015,,,483,100% (1/1),100% (1/1),100% (1/1),Dogs are sensitive to Earth's magnetic field.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Dogs_News.jpeg,Artificial sweeteners may lead to diabetes.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Sugar_Abstract.jpeg,Caffeine can improve memory.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Caffeine_Blog.jpeg,Marriage duration is inversely associated with spending on the engagement ring and wedding ceremony.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Wedding_Tweet.jpeg,Vitamin D deficiency causes an increased risk of dementia and Alzheimer disease.,https://www.youtube.com/embed/QblJmu1icHY,22,Bachelor,Male,5,4,4,6,6,7,7,6,6,6,No,no,4,,
30QQTY5GMKKASSL5LPBG8VE3URO7UT,3M6I6ITMWAVH70OHOM0EJ2K4L1BDQ4,News credibility,"You will be shown a variety of news sources on a variety of topics.  You will be asked to assess the credibility of these sources, as well as your familiarity with the topics.","news, classification",$0.25 ,Tue Jun 16 11:16:47 PDT 2015,410,BatchId:1982797;,28800,259200,Mon Jun 22 08:40:07 PDT 2015,,,326O153BMIYB7PNNC55ZTPYGBRDDEA,A2F7P8XL6AYUPM,Approved,Wed Jun 17 11:46:40 PDT 2015,Wed Jun 17 11:48:18 PDT 2015,Sat Jun 20 11:48:18 PDT 2015,Wed Jun 17 15:02:56 PDT 2015,,,98,100% (1/1),100% (1/1),100% (1/1),Dogs are sensitive to Earth's magnetic field.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Dogs_News.jpeg,Artificial sweeteners may lead to diabetes.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Sugar_Abstract.jpeg,Caffeine can improve memory.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Caffeine_Blog.jpeg,Marriage duration is inversely associated with spending on the engagement ring and wedding ceremony.,http://ella.ils.indiana.edu/~atsou/newsCredibility/Wedding_Tweet.jpeg,Vitamin D deficiency causes an increased risk of dementia and Alzheimer disease.,https://www.youtube.com/embed/QblJmu1icHY,19,High school,Female,1,1,7,5,7,7,4,4,7,5,Yes,{},4,,
