HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Unique_ID,Input.1,Input.2,Input.3,Input.4,Input.5,Input.6,Input.7,Input.8,Input.9,Input.10,Input.11,Input.12,Input.13,Input.14,Answer.Age,Answer.Education,Answer.Gender,Answer.Q10Credibility,Answer.Q11Credibility,Answer.Q12Credibility,Answer.Q13Credibility,Answer.Q14Credibility,Answer.Q1Credibility,Answer.Q2Credibility,Answer.Q3Credibility,Answer.Q4Credibility,Answer.Q5Credibility,Answer.Q6Credibility,Answer.Q7Credibility,Answer.Q8Credibility,Answer.Q9Credibility,Answer.US,Answer.freeEntry,Answer.valid,Approve,Reject
301KG0KX9CLY15IFFENMTP868N32HZ,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:10 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:10 PST 2017,,,3QXNC7EIPIV0D9VCSI1IM4DN74I095,A3E62GRWCXX6CX,Approved,Thu Nov 30 11:18:10 PST 2017,Thu Nov 30 11:20:46 PST 2017,Tue Dec 05 11:20:46 PST 2017,Fri Dec 01 06:45:15 PST 2017,,,156,100% (1/1),100% (1/1),100% (1/1),60243781,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.8.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.9.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.10.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.11.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.12.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.13.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.14.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.15.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.16.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.1.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.2.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.3.2.jpg,19,High school,Female,6,6,5,6,6,7,6,5,6,5,6,7,5,7,Yes,{},4,,
307FVKVSYRFBBURQ6JKYVRGAEY374Y,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:13 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:13 PST 2017,,,3QILPRALQ5V3K049OWX2XKEPVSN8ND,A1QG66R1FGWBRJ,Approved,Thu Nov 30 18:19:17 PST 2017,Thu Nov 30 18:23:21 PST 2017,Tue Dec 05 18:23:21 PST 2017,Fri Dec 01 06:45:15 PST 2017,,,244,100% (1/1),100% (1/1),100% (1/1),2748801,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.11.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.13.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.14.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.15.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.16.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.17.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.18.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.2.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.3.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.4.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.5.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.6.2.jpg,58,Bachelor,Female,3,3,3,3,3,5,6,5,3,5,5,3,4,3,Yes,It was hard to read the very first one.,four,,
3087LXLJ6MG7RZOV51V87G3EVA6F0U,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:13 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:13 PST 2017,,,3IX2EGZR7BJDJFSK87BAVUSDCZNJRB,A2YLK83DQ6PA5Y,Approved,Thu Nov 30 10:35:41 PST 2017,Thu Nov 30 12:05:03 PST 2017,Tue Dec 05 12:05:03 PST 2017,Fri Dec 01 06:45:16 PST 2017,,,5362,100% (1/1),100% (1/1),100% (1/1),7442397,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.11.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.12.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.13.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.14.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.15.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.16.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.17.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.3.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.4.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.5.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.6.1.jpg,40,Associate,Male,2,1,1,5,4,2,1,6,6,3,5,3,1,5,,{},4,,
30EV7DWJTVV851R5CG3D52KLEOI6YJ,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:10 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:10 PST 2017,,,3MYYFCXHJ37WR70LPPUUQOPNSSA4GV,A3I9FTHSULHPYS,Approved,Thu Nov 30 09:32:38 PST 2017,Thu Nov 30 09:38:53 PST 2017,Tue Dec 05 09:38:53 PST 2017,Fri Dec 01 06:45:16 PST 2017,,,375,100% (2/2),100% (1/1),100% (1/1),63915228,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.8.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.9.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.10.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.11.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.13.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.14.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.15.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.16.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.17.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.18.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.2.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.3.1.jpg,44,Bachelor,Male,7,7,4,4,4,7,4,7,7,7,7,7,7,7,Yes,{},4,,
30F94FBDNRKIUR96Y1XM81EYDNBBTK,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:09 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:09 PST 2017,,,3PQ8K71NHXKAJ53ZCQCB750KM9OAAZ,A1CW30JQN12CIN,Approved,Thu Nov 30 18:14:58 PST 2017,Thu Nov 30 18:19:05 PST 2017,Tue Dec 05 18:19:05 PST 2017,Fri Dec 01 06:45:16 PST 2017,,,247,100% (1/1),100% (1/1),100% (1/1),86129330,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.8.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.9.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.10.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.11.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.12.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.13.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.14.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.15.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.16.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.17.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.3.3.jpg,38,Bachelor,Male,6,7,6,6,7,3,3,4,5,4,6,6,7,6,No,{},4,,
30OITAWPBQ391P3E0N213CGKETD9HY,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:11 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:11 PST 2017,,,3FTOP5WARFOPJL8LEUSVBYRQ39WJ0L,A2JKETV64OU7DY,Approved,Thu Nov 30 11:36:43 PST 2017,Thu Nov 30 11:38:20 PST 2017,Tue Dec 05 11:38:20 PST 2017,Fri Dec 01 06:45:16 PST 2017,,,97,100% (1/1),100% (1/1),100% (1/1),81858185,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.9.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.10.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.11.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.13.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.14.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.15.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.16.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.17.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.2.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.3.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.4.2.jpg,35,Bachelor,Male,5,4,2,4,3,3,4,5,6,4,4,7,5,4,Yes,{},4,,
3126F2F5F83I92SJRBQS4ZJMRH3EPI,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:10 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:10 PST 2017,,,3IXEICO792JEBZQ5SDMGM5OQEE16T6,A2V4PRG5UBNIX0,Approved,Thu Nov 30 10:36:28 PST 2017,Thu Nov 30 11:28:16 PST 2017,Tue Dec 05 11:28:16 PST 2017,Fri Dec 01 06:45:16 PST 2017,,,3108,100% (1/1),100% (1/1),100% (1/1),68653355,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.8.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.9.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.10.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.11.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.12.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.13.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.14.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.15.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.16.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.1.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.3.3.jpg,44,Master,Female,4,6,2,4,4,7,7,6,5,7,6,5,5,6,Yes,{},4,,
31N9JPQXIPIUQR781XL6LDB4JIUHN5,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:12 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:12 PST 2017,,,3PDJHANYK5GO6QZASJ5R8ML23MAH6F,A2VU7KJ5LAEGJ0,Approved,Fri Dec 01 03:19:35 PST 2017,Fri Dec 01 03:23:11 PST 2017,Wed Dec 06 03:23:11 PST 2017,Fri Dec 01 06:45:16 PST 2017,,,216,100% (1/1),100% (1/1),100% (1/1),83352593,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.10.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.11.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.12.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.13.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.14.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.15.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.16.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.17.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.2.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.3.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.4.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.5.1.jpg,36,Master,Male,3,2,2,2,3,5,3,4,5,5,5,5,5,5,No,No problem at all!,four,,
32204AGAABCOGZQMET8BVT27I68HGX,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:11 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:11 PST 2017,,,3QBD8R3Z21JKJKHJD872VXYPJHG4O3,A29X1A8AF3TUQP,Approved,Fri Dec 01 02:36:20 PST 2017,Fri Dec 01 02:40:09 PST 2017,Wed Dec 06 02:40:09 PST 2017,Fri Dec 01 06:45:16 PST 2017,,,229,100% (1/1),100% (1/1),100% (1/1),71347227,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.9.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.10.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.11.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.12.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.13.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.14.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.15.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.16.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.18.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.1.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.3.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.4.1.jpg,41,Professional,Female,6,6,5,6,5,5,4,6,5,6,5,6,6,6,No,No But some tweets I am not able to understand,4,,
335HHSX8CD5L4FGVC373P8ZA5ESHDN,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:10 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:10 PST 2017,,,3QUO65DNQUOJ0IBYSEYK81WJISBUOJ,A29O66X8W1OHPX,Approved,Thu Nov 30 11:50:22 PST 2017,Thu Nov 30 11:53:19 PST 2017,Tue Dec 05 11:53:19 PST 2017,Fri Dec 01 06:45:16 PST 2017,,,177,100% (1/1),100% (1/1),100% (1/1),2893489,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.8.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.9.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.10.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.11.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.13.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.14.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.15.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.16.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.18.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.3.3.jpg,50,Bachelor,Male,1,3,2,5,4,6,4,5,6,7,7,5,6,7,Yes,no,4,,
